model,method,k,ACC,Error
RF,xgb_shap,25,0.9703739679456047,0.02962603205439529
RF,xgb_shap,50,0.9781553398058253,0.021844660194174748
RF,xgb_shap,50,0.9830097087378641,0.016990291262135915
RF,xgb_shap,50,0.9762135922330097,0.02378640776699026
RF,xgb_shap,50,0.9776699029126213,0.022330097087378653
RF,xgb_shap,50,0.9766877124817873,0.023312287518212682
RF,xgb_shap,100,0.9781553398058253,0.021844660194174748
RF,xgb_shap,100,0.9825242718446602,0.01747572815533982
RF,xgb_shap,100,0.9771844660194174,0.02281553398058256
RF,xgb_shap,100,0.9781553398058253,0.021844660194174748
RF,xgb_shap,100,0.9810587663914522,0.018941233608547825
SVM,xgb,1,0.4262135922330097,0.5737864077669903
SVM,xgb,1,0.4412621359223301,0.5587378640776699
SVM,xgb,1,0.44902912621359226,0.5509708737864077
SVM,xgb,1,0.4325242718446602,0.5674757281553398
SVM,xgb,1,0.42059252064108793,0.5794074793589121
SVM,xgb,2,0.47815533980582525,0.5218446601941747
SVM,xgb,2,0.4771844660194175,0.5228155339805824
SVM,xgb,2,0.48349514563106794,0.5165048543689321
SVM,xgb,2,0.46990291262135925,0.5300970873786408
SVM,xgb,2,0.4575036425449247,0.5424963574550753
SVM,xgb,3,0.4995145631067961,0.5004854368932039
SVM,xgb,3,0.49466019417475726,0.5053398058252427
SVM,xgb,3,0.5048543689320388,0.49514563106796117
SVM,xgb,3,0.487378640776699,0.512621359223301
SVM,xgb,3,0.4754735308402137,0.5245264691597863
SVM,xgb,4,0.6820388349514563,0.31796116504854366
SVM,xgb,4,0.6810679611650485,0.31893203883495147
SVM,xgb,4,0.6825242718446602,0.31747572815533975
SVM,xgb,4,0.6946601941747573,0.30533980582524267
SVM,xgb,4,0.6838271005342399,0.3161728994657601
SVM,xgb,5,0.6975728155339805,0.30242718446601946
SVM,xgb,5,0.6961165048543689,0.30388349514563107
SVM,xgb,5,0.6970873786407767,0.30291262135922326
SVM,xgb,5,0.7067961165048544,0.2932038834951456
SVM,xgb,5,0.6915978630403108,0.3084021369596892
SVM,xgb,10,0.8509708737864078,0.1490291262135922
SVM,xgb,10,0.8616504854368932,0.13834951456310685
SVM,xgb,10,0.8509708737864078,0.1490291262135922
SVM,xgb,10,0.8660194174757282,0.1339805825242718
SVM,xgb,10,0.8533268576979116,0.1466731423020884
SVM,xgb,15,0.9063106796116505,0.09368932038834954
SVM,xgb,15,0.9029126213592233,0.09708737864077666
SVM,xgb,15,0.9053398058252428,0.09466019417475724
SVM,xgb,15,0.9048543689320389,0.09514563106796114
SVM,xgb,15,0.8994657600777076,0.10053423992229238
SVM,xgb,20,0.9184466019417475,0.08155339805825246
SVM,xgb,20,0.9111650485436893,0.0888349514563107
SVM,xgb,20,0.920873786407767,0.07912621359223304
SVM,xgb,20,0.9213592233009709,0.07864077669902914
SVM,xgb,20,0.911121903836814,0.08887809616318598
SVM,xgb,25,0.9189320388349514,0.08106796116504855
SVM,xgb,25,0.9155339805825242,0.08446601941747578
SVM,xgb,25,0.9233009708737864,0.07669902912621362
SVM,xgb,25,0.9228155339805825,0.07718446601941753
SVM,xgb,25,0.9096648858669257,0.09033511413307427
SVM,xgb,50,0.945631067961165,0.05436893203883497
SVM,xgb,50,0.9393203883495146,0.06067961165048541
SVM,xgb,50,0.9339805825242719,0.06601941747572815
SVM,xgb,50,0.945631067961165,0.05436893203883497
SVM,xgb,50,0.9329771733851384,0.06702282661486159
SVM,xgb,100,0.9626213592233009,0.03737864077669906
SVM,xgb,100,0.9635922330097088,0.036407766990291246
SVM,xgb,100,0.9587378640776699,0.04126213592233008
SVM,xgb,100,0.9689320388349515,0.031067961165048508
SVM,xgb,100,0.9592034968431278,0.04079650315687222
SVM,perm,1,0.37912621359223303,0.6208737864077669
SVM,perm,1,0.36941747572815536,0.6305825242718446
SVM,perm,1,0.3859223300970874,0.6140776699029127
SVM,perm,1,0.37475728155339805,0.625242718446602
SVM,perm,1,0.36813987372510926,0.6318601262748907
SVM,perm,2,0.3859223300970874,0.6140776699029127
SVM,perm,2,0.3733009708737864,0.6266990291262136
SVM,perm,2,0.38932038834951455,0.6106796116504855
SVM,perm,2,0.37718446601941746,0.6228155339805825
SVM,perm,2,0.3705682370082564,0.6294317629917436
SVM,perm,3,0.3995145631067961,0.6004854368932039
SVM,perm,3,0.38398058252427186,0.6160194174757281
SVM,perm,3,0.3990291262135922,0.6009708737864078
SVM,perm,3,0.39174757281553396,0.608252427184466
SVM,perm,3,0.37979601748421565,0.6202039825157843
SVM,perm,4,0.4087378640776699,0.5912621359223301
SVM,perm,4,0.39563106796116504,0.604368932038835
SVM,perm,4,0.40436893203883495,0.595631067961165
SVM,perm,4,0.40728155339805827,0.5927184466019417
SVM,perm,4,0.3904808159300631,0.6095191840699369
SVM,perm,5,0.4087378640776699,0.5912621359223301
SVM,perm,5,0.3995145631067961,0.6004854368932039
SVM,perm,5,0.41650485436893203,0.583495145631068
SVM,perm,5,0.40631067961165046,0.5936893203883495
SVM,perm,5,0.3929091792132103,0.6070908207867898
SVM,perm,10,0.8466019417475729,0.15339805825242714
SVM,perm,10,0.841747572815534,0.15825242718446597
SVM,perm,10,0.8354368932038835,0.16456310679611652
SVM,perm,10,0.8315533980582525,0.16844660194174754
SVM,perm,10,0.8460417678484702,0.15395823215152982
SVM,perm,15,0.8859223300970874,0.11407766990291257
SVM,perm,15,0.8815533980582524,0.11844660194174761
SVM,perm,15,0.8776699029126214,0.12233009708737863
SVM,perm,15,0.8786407766990292,0.12135922330097082
SVM,perm,15,0.8824672170956775,0.11753278290432245
SVM,perm,20,0.8893203883495145,0.11067961165048545
SVM,perm,20,0.8941747572815534,0.10582524271844662
SVM,perm,20,0.8839805825242718,0.11601941747572819
SVM,perm,20,0.8849514563106796,0.11504854368932038
SVM,perm,20,0.8912093249150073,0.10879067508499274
SVM,perm,25,0.8951456310679612,0.10485436893203881
SVM,perm,25,0.8951456310679612,0.10485436893203881
SVM,perm,25,0.8878640776699029,0.11213592233009706
SVM,perm,25,0.8854368932038835,0.11456310679611648
SVM,perm,25,0.8907236522583779,0.10927634774162209
SVM,perm,50,0.912621359223301,0.08737864077669899
SVM,perm,50,0.903883495145631,0.09611650485436896
SVM,perm,50,0.9014563106796116,0.09854368932038837
SVM,perm,50,0.9014563106796116,0.09854368932038837
SVM,perm,50,0.9057795046138902,0.09422049538610977
SVM,perm,100,0.9262135922330097,0.0737864077669903
SVM,perm,100,0.9233009708737864,0.07669902912621362
SVM,perm,100,0.9121359223300971,0.0878640776699029
